1708150239.548825 P  %CPU     PID USER      PR  NI    VIRT    RES    SHR S  %MEM     TIME+ COMMAND
1708150413.987082 4  99.9  102431 root       0 -20    8380   1104   1000 R   0.0   2:54.86 test-cpu-determinism.clogt.exe
1708150415.233601 4  99.9  102431 root       0 -20    8380   1104   1000 R   0.0   2:56.10 test-cpu-determinism.clogt.exe
1708150416.452742 4  99.2  102431 root       0 -20    8380   1104   1000 R   0.0   2:57.32 test-cpu-determinism.clogt.exe
1708150417.674598 P  %CPU     PID USER      PR  NI    VIRT    RES    SHR S  %MEM     TIME+ COMMAND
1708150417.674701 4  99.9  102431 root       0 -20    8380   1104   1000 R   0.0   2:58.55 test-cpu-determinism.clogt.exe
1708150418.949947 4  99.9  102431 root       0 -20    8380   1104   1000 R   0.0   2:59.82 test-cpu-determinism.clogt.exe
1708150420.172807 4  97.6  102431 root       0 -20    8380   1104   1000 R   0.0   3:01.04 test-cpu-determinism.clogt.exe
1708150421.416428 4  99.9  102431 root       0 -20    8380   1104   1000 R   0.0   3:02.29 test-cpu-determinism.clogt.exe
1708150422.625347 4  98.4  102431 root       0 -20    8380   1104   1000 R   0.0   3:03.49 test-cpu-determinism.clogt.exe
1708150423.851868 4  99.9  102431 root       0 -20    8380   1104   1000 R   0.0   3:04.70 test-cpu-determinism.clogt.exe
1708150425.043155 4  99.9  102431 root       0 -20    8380   1104   1000 R   0.0   3:05.91 test-cpu-determinism.clogt.exe
1708150426.259195 4  99.9  102431 root       0 -20    8380   1104   1000 R   0.0   3:07.13 test-cpu-determinism.clogt.exe
1708150427.505700 4  99.9  102431 root       0 -20    8380   1104   1000 R   0.0   3:08.37 test-cpu-determinism.clogt.exe
1708150428.744444 4  99.9  102431 root       0 -20    8380   1104   1000 R   0.0   3:09.61 test-cpu-determinism.clogt.exe
1708150429.984849 4  99.9  102431 root       0 -20    8380   1104   1000 R   0.0   3:10.85 test-cpu-determinism.clogt.exe
