1708140731.711486 P  %CPU     PID USER      PR  NI    VIRT    RES    SHR S  %MEM     TIME+ COMMAND
1708140833.769829 4  99.9   72353 root       0 -20    8380   1124   1020 R   0.0   1:42.27 test-cpu-determinism.clogt.exe
1708140834.822590 4  99.1   72353 root       0 -20    8380   1124   1020 R   0.0   1:43.32 test-cpu-determinism.clogt.exe
1708140835.869764 4  99.9   72353 root       0 -20    8380   1124   1020 R   0.0   1:44.37 test-cpu-determinism.clogt.exe
1708140836.916764 4  99.9   72353 root       0 -20    8380   1124   1020 R   0.0   1:45.42 test-cpu-determinism.clogt.exe
1708140837.963968 4  99.9   72353 root       0 -20    8380   1124   1020 R   0.0   1:46.47 test-cpu-determinism.clogt.exe
1708140839.015758 4  99.9   72353 root       0 -20    8380   1124   1020 R   0.0   1:47.52 test-cpu-determinism.clogt.exe
1708140840.067683 4  99.9   72353 root       0 -20    8380   1124   1020 R   0.0   1:48.57 test-cpu-determinism.clogt.exe
1708140841.117623 4  99.9   72353 root       0 -20    8380   1124   1020 R   0.0   1:49.62 test-cpu-determinism.clogt.exe
1708140842.165123 4  99.0   72353 root       0 -20    8380   1124   1020 R   0.0   1:50.66 test-cpu-determinism.clogt.exe
1708140843.218166 4  99.9   72353 root       0 -20    8380   1124   1020 R   0.0   1:51.72 test-cpu-determinism.clogt.exe
1708140844.277941 4  99.1   72353 root       0 -20    8380   1124   1020 R   0.0   1:52.78 test-cpu-determinism.clogt.exe
1708140845.326381 4  99.9   72353 root       0 -20    8380   1124   1020 R   0.0   1:53.82 test-cpu-determinism.clogt.exe
1708140846.375318 4  99.9   72353 root       0 -20    8380   1124   1020 R   0.0   1:54.88 test-cpu-determinism.clogt.exe
1708140847.435344 4  99.9   72353 root       0 -20    8380   1124   1020 R   0.0   1:55.94 test-cpu-determinism.clogt.exe
1708140848.482263 4  99.9   72353 root       0 -20    8380   1124   1020 R   0.0   1:56.99 test-cpu-determinism.clogt.exe
1708140849.530315 4  99.0   72353 root       0 -20    8380   1124   1020 R   0.0   1:58.03 test-cpu-determinism.clogt.exe
1708140850.582598 4  99.9   72353 root       0 -20    8380   1124   1020 R   0.0   1:59.08 test-cpu-determinism.clogt.exe
